census_id_pid6,muniname,statename,yr_incorp
160626,CITY OF ABBEVILLE,ALABAMA,1859
160636,CITY OF ADAMSVILLE,ALABAMA,1953
160707,CITY OF ALABASTER,ALABAMA,1953
160679,CITY OF ALBERTVILLE,ALABAMA,1891
160719,CITY OF ALEXANDER CITY,ALABAMA,1872
193060,CITY OF ALICEVILLE,ALABAMA,1907
160586,CITY OF ANDALUSIA,ALABAMA,1901
100025,CITY OF ANNISTON,ALABAMA,1879
122571,CITY OF ARAB,ALABAMA,1892
160575,CITY OF ASHLAND,ALABAMA,1871
160702,CITY OF ASHVILLE,ALABAMA,1822
207518,CITY OF ATHENS,ALABAMA,1818
160607,CITY OF ATMORE,ALABAMA,1907
160611,CITY OF ATTALLA,ALABAMA,1872
160662,CITY OF AUBURN,ALABAMA,1839
100041,CITY OF BABBIE,ALABAMA,1957
122499,CITY OF BAY MINETTE,ALABAMA,1907
189556,CITY OF BAYOU LA BATRE,ALABAMA,1955
160637,CITY OF BESSEMER,ALABAMA,1887
225038,CITY OF BIRMINGHAM,ALABAMA,1871
183676,CITY OF BOAZ,ALABAMA,1884
160554,CITY OF BRENT,ALABAMA,1913
122535,CITY OF BREWTON,ALABAMA,1885
160632,CITY OF BRIDGEPORT,ALABAMA,1890
122552,CITY OF BRIGHTON,ALABAMA,1901
160699,CITY OF BRUNDIDGE,ALABAMA,1890
100099,CITY OF CALERA,ALABAMA,1887
160732,CITY OF CAMDEN,ALABAMA,1841
160725,CITY OF CARBON HILL,ALABAMA,1891
214787,CITY OF CENTER POINT,ALABAMA,2002
160566,CITY OF CENTRE,ALABAMA,1899
122503,CITY OF CENTREVILLE,ALABAMA,1832
160711,CITY OF CHELSEA,ALABAMA,1996
100086,CITY OF CHICKASAW,ALABAMA,1946
211975,CITY OF CHILDERSBURG,ALABAMA,1889
160682,CITY OF CITRONELLE,ALABAMA,1892
207504,CITY OF CLANTON,ALABAMA,1873
219532,CITY OF CLAY,ALABAMA,2000
100021,CITY OF CLIO,ALABAMA,1890
207524,CITY OF COLUMBIANA,ALABAMA,1837
160726,CITY OF CORDOVA,ALABAMA,1900
160687,CITY OF CREOLA,ALABAMA,1978
122526,CITY OF CULLMAN,ALABAMA,1875
160721,CITY OF DADEVILLE,ALABAMA,1879
160596,CITY OF DALEVILLE,ALABAMA,1958
160546,CITY OF DAPHNE,ALABAMA,1927
160690,CITY OF DECATUR,ALABAMA,1834
207521,CITY OF DEMOPOLIS,ALABAMA,1821
100108,CITY OF DORA,ALABAMA,1897
122546,CITY OF DOTHAN,ALABAMA,1885
160608,CITY OF EAST BREWTON,ALABAMA,1918
122517,CITY OF ELBA,ALABAMA,1893
160579,CITY OF ENTERPRISE,ALABAMA,1897
189544,CITY OF EUFAULA,ALABAMA,1857
160585,CITY OF EVERGREEN,ALABAMA,1873
122553,CITY OF FAIRFIELD,ALABAMA,1918
160548,CITY OF FAIRHOPE,ALABAMA,1908
189550,CITY OF FAYETTE,ALABAMA,1899
122559,CITY OF FLORENCE,ALABAMA,1826
122500,CITY OF FOLEY,ALABAMA,1915
203913,CITY OF FORT PAYNE,ALABAMA,1889
100066,CITY OF FULTONDALE,ALABAMA,1947
183677,CITY OF GADSDEN,ALABAMA,1871
160640,CITY OF GARDENDALE,ALABAMA,1955
160622,CITY OF GENEVA,ALABAMA,1875
160561,CITY OF GEORGIANA,ALABAMA,1872
225037,CITY OF GLENCOE,ALABAMA,1939
160641,CITY OF GRAYSVILLE,ALABAMA,1946
207512,CITY OF GREENSBORO,ALABAMA,1870
122508,CITY OF GREENVILLE,ALABAMA,1871
203915,CITY OF GUIN,ALABAMA,1893
100020,CITY OF GULF SHORES,ALABAMA,1957
203917,CITY OF GUNTERSVILLE,ALABAMA,1848
160735,CITY OF HALEYVILLE,ALABAMA,1889
160677,CITY OF HAMILTON,ALABAMA,1896
122527,CITY OF HANCEVILLE,ALABAMA,1878
122541,CITY OF HARTFORD,ALABAMA,1897
160691,CITY OF HARTSELLE,ALABAMA,1875
207513,CITY OF HEADLAND,ALABAMA,1893
160577,CITY OF HEFLIN,ALABAMA,1886
160708,CITY OF HELENA,ALABAMA,1919
160601,CITY OF HENAGAR,ALABAMA,1966
193055,CITY OF HOKES BLUFF,ALABAMA,1946
122554,CITY OF HOMEWOOD,ALABAMA,1826
122558,CITY OF HOOVER,ALABAMA,1967
122557,CITY OF HUEYTOWN,ALABAMA,1959
207520,CITY OF HUNTSVILLE,ALABAMA,1811
160710,CITY OF INDIAN SPRINGS VILLAGE,ALABAMA,1990
183678,CITY OF IRONDALE,ALABAMA,1887
122515,CITY OF JACKSON,ALABAMA,1816
160563,CITY OF JACKSONVILLE,ALABAMA,1836
160727,CITY OF JASPER,ALABAMA,1840
122513,CITY OF JEMISON,ALABAMA,1897
160642,CITY OF KIMBERLY,ALABAMA,1951
100026,CITY OF LAFAYETTE,ALABAMA,1835
160565,CITY OF LANETT,ALABAMA,1865
160643,CITY OF LEEDS,ALABAMA,1887
183679,CITY OF LINCOLN,ALABAMA,1911
100083,CITY OF LINDEN,ALABAMA,1839
160576,CITY OF LINEVILLE,ALABAMA,1898
189553,CITY OF LIPSCOMB,ALABAMA,1910
122588,CITY OF LIVINGSTON,ALABAMA,1835
193053,CITY OF LUVERNE,ALABAMA,1889
160670,CITY OF MADISON,ALABAMA,1869
122577,CITY OF MARION,ALABAMA,1835
211973,CITY OF MIDFIELD,ALABAMA,1953
160606,CITY OF MILLBROOK,ALABAMA,1977
160683,CITY OF MOBILE,ALABAMA,1814
193059,CITY OF MONROEVILLE,ALABAMA,1889
207525,CITY OF MONTEVALLO,ALABAMA,1848
100091,CITY OF MONTGOMERY,ALABAMA,1819
122584,CITY OF MOODY,ALABAMA,1962
160660,CITY OF MOULTON,ALABAMA,1819
122555,CITY OF MOUNTAIN BROOK,ALABAMA,1942
122519,CITY OF MUSCLE SHOALS,ALABAMA,1923
160671,CITY OF NEW HOPE,ALABAMA,1956
193062,CITY OF NORTHPORT,ALABAMA,1852
160703,CITY OF ODENVILLE,ALABAMA,1914
211969,CITY OF ONEONTA,ALABAMA,1891
160663,CITY OF OPELIKA,ALABAMA,1854
122521,CITY OF OPP,ALABAMA,1901
160550,CITY OF ORANGE BEACH,ALABAMA,1984
122509,CITY OF OXFORD,ALABAMA,1852
122531,CITY OF OZARK,ALABAMA,1870
183682,CITY OF PELHAM,ALABAMA,1964
207522,CITY OF PELL CITY,ALABAMA,1891
122582,CITY OF PHENIX,ALABAMA,1883
207502,CITY OF PIEDMONT,ALABAMA,1887
219535,CITY OF PINSON,ALABAMA,2004
160647,CITY OF PLEASANT GROVE,ALABAMA,1934
100019,CITY OF PRATTVILLE,ALABAMA,1872
160684,CITY OF PRICHARD,ALABAMA,1925
160612,CITY OF RAINBOW CITY,ALABAMA,1950
183680,CITY OF RAINSVILLE,ALABAMA,1956
160619,CITY OF RED BAY,ALABAMA,1907
160700,CITY OF ROANOKE,ALABAMA,1890
184283,CITY OF ROBERTSDALE,ALABAMA,1921
100056,CITY OF RUSSELLVILLE,ALABAMA,1819
184300,CITY OF SAMSON,ALABAMA,1905
160685,CITY OF SARALAND,ALABAMA,1957
100089,CITY OF SATSUMA,ALABAMA,1959
160634,CITY OF SCOTTSBORO,ALABAMA,1869
100048,CITY OF SELMA,ALABAMA,1820
225411,CITY OF SEMMES,ALABAMA,2011
100035,CITY OF SHEFFIELD,ALABAMA,1885
160623,CITY OF SLOCOMB,ALABAMA,1901
213329,CITY OF SMITHS STATION,ALABAMA,2001
100055,CITY OF SOUTHSIDE,ALABAMA,1957
193050,CITY OF SPANISH FORT,ALABAMA,1993
160704,CITY OF SPRINGVILLE,ALABAMA,1873
207516,CITY OF STEVENSON,ALABAMA,1867
211974,CITY OF SULLIGENT,ALABAMA,1897
184315,CITY OF SUMITON,ALABAMA,1952
189559,CITY OF SYLACAUGA,ALABAMA,1838
184313,CITY OF TALLADEGA,ALABAMA,1848
160604,CITY OF TALLASSEE,ALABAMA,1903
201321,CITY OF TARRANT,ALABAMA,1918
160574,CITY OF THOMASVILLE,ALABAMA,1888
100096,CITY OF TROY,ALABAMA,1843
160648,CITY OF TRUSSVILLE,ALABAMA,1947
160723,CITY OF TUSCALOOSA,ALABAMA,1819
160583,CITY OF TUSCUMBIA,ALABAMA,1820
160669,CITY OF TUSKEGEE,ALABAMA,1843
207501,CITY OF UNION SPRINGS,ALABAMA,1870
122511,CITY OF VALLEY,ALABAMA,1980
215829,CITY OF VALLEY GRANDE,ALABAMA,2003
183681,CITY OF VERNON,ALABAMA,1870
160649,CITY OF VESTAVIA HILLS,ALABAMA,1950
122589,CITY OF WALDO,ALABAMA,1972
184303,CITY OF WARRIOR,ALABAMA,1899
160564,CITY OF WEAVER,ALABAMA,1945
160605,CITY OF WETUMPKA,ALABAMA,1839
203916,CITY OF WINFIELD,ALABAMA,1898
160714,CITY OF YORK,ALABAMA,1881
160734,TOWN OF ADDISON,ALABAMA,1949
189551,TOWN OF AKRON,ALABAMA,1918
122505,TOWN OF ALLGOOD,ALABAMA,1959
160610,TOWN OF ALTOONA,ALABAMA,1907
160659,TOWN OF ANDERSON,ALABAMA,1973
100074,TOWN OF ARDMORE,ALABAMA,1945
160705,TOWN OF ARGO,ALABAMA,1987
122530,TOWN OF ARITON,ALABAMA,1906
184316,TOWN OF ARLEY,ALABAMA,1965
100060,TOWN OF ASHFORD,ALABAMA,1891
122498,TOWN OF AUTAUGAVILLE,ALABAMA,1839
160631,TOWN OF AVON,ALABAMA,1957
100046,TOWN OF BAILEYTON,ALABAMA,1973
214170,TOWN OF BAKERHILL,ALABAMA,1997
122579,TOWN OF BANKS,ALABAMA,1897
122570,TOWN OF BEAR CREEK,ALABAMA,1907
100090,TOWN OF BEATRICE,ALABAMA,1901
160654,TOWN OF BEAVERTON,ALABAMA,1910
160617,TOWN OF BELK,ALABAMA,1968
100075,TOWN OF BENTON,ALABAMA,1964
248426,TOWN OF BERLIN,ALABAMA,2018
160616,TOWN OF BERRY,ALABAMA,1883
160545,TOWN OF BILLINGSLEY,ALABAMA,1901
160620,TOWN OF BLACK,ALABAMA,1906
160556,TOWN OF BLOUNTSVILLE,ALABAMA,1827
160551,TOWN OF BLUE SPRINGS,ALABAMA,1907
122543,TOWN OF BOLIGEE,ALABAMA,1926
100102,TOWN OF BON AIR,ALABAMA,1932
207507,TOWN OF BRANTLEY,ALABAMA,1892
211262,TOWN OF BRILLIANT,ALABAMA,1957
160638,TOWN OF BROOKSIDE,ALABAMA,1896
100107,TOWN OF BROOKWOOD,ALABAMA,1977
160569,TOWN OF BUTLER,ALABAMA,1847
160720,TOWN OF CAMP HILL,ALABAMA,1895
160639,TOWN OF CARDIFF,ALABAMA,1900
207506,TOWN OF CAROLINA,ALABAMA,
225761,TOWN OF CARROLLTON,ALABAMA,1831
160584,TOWN OF CASTLEBERRY,ALABAMA,1912
207503,TOWN OF CEDAR BLUFF,ALABAMA,1837
100112,TOWN OF CHATOM,ALABAMA,1949
160580,TOWN OF CHEROKEE,ALABAMA,1871
160598,TOWN OF CLAYHATCHEE,ALABAMA,1967
160552,TOWN OF CLAYTON,ALABAMA,1841
100024,TOWN OF CLEVELAND,ALABAMA,1964
137133,TOWN OF COALING,ALABAMA,1997
160621,TOWN OF COFFEE SPRINGS,ALABAMA,1900
160572,TOWN OF COFFEEVILLE,ALABAMA,1819
195816,TOWN OF COKER,ALABAMA,1999
207508,TOWN OF COLLINSVILLE,ALABAMA,1901
122529,TOWN OF COLONY,ALABAMA,1981
160628,TOWN OF COLUMBIA,ALABAMA,1870
211972,TOWN OF COOSADA,ALABAMA,1975
207514,TOWN OF COTTONWOOD,ALABAMA,1903
193057,TOWN OF COUNTY LINE,ALABAMA,1957
122560,TOWN OF COURTLAND,ALABAMA,1828
122548,TOWN OF COWARTS,ALABAMA,1961
160599,TOWN OF CROSSVILLE,ALABAMA,1942
122587,TOWN OF CUBA,ALABAMA,1901
221115,TOWN OF CUSSETA,ALABAMA,1853
122572,TOWN OF DAUPHIN ISLAND,ALABAMA,1988
122590,TOWN OF DAVISTON,ALABAMA,1887
122567,TOWN OF DAYTON,ALABAMA,1844
100053,TOWN OF DEATSVILLE,ALABAMA,1903
100068,TOWN OF DETROIT,ALABAMA,1955
137131,TOWN OF DODGE CITY,ALABAMA,1993
100116,TOWN OF DOUBLE SPRINGS,ALABAMA,1943
160681,TOWN OF DOUGLAS,ALABAMA,1978
100042,TOWN OF DOZIER,ALABAMA,1907
122551,TOWN OF DUTTON,ALABAMA,1962
203914,TOWN OF ECLECTIC,ALABAMA,1907
122516,TOWN OF EDWARDSVILLE,ALABAMA,1867
160547,TOWN OF ELBERTA,ALABAMA,1952
160730,TOWN OF ELDRIDGE,ALABAMA,1970
160664,TOWN OF ELKMONT,ALABAMA,1873
183638,TOWN OF ELMORE,ALABAMA,1997
160715,TOWN OF EMELLE,ALABAMA,1981
100101,TOWN OF EPES,ALABAMA,1899
160697,TOWN OF ETHELSVILLE,ALABAMA,1956
100058,TOWN OF EUTAW,ALABAMA,1841
160693,TOWN OF EVA,ALABAMA,1963
203918,TOWN OF EXCEL,ALABAMA,1948
160594,TOWN OF FAIRVIEW,ALABAMA,1918
122575,TOWN OF FALKVILLE,ALABAMA,1898
122568,TOWN OF FAUNSDALE,ALABAMA,1907
122510,TOWN OF FIVE POINTS,ALABAMA,1915
160609,TOWN OF FLOMATON,ALABAMA,1908
160587,TOWN OF FLORALA,ALABAMA,1901
160625,TOWN OF FORKLAND,ALABAMA,1974
184306,TOWN OF FORT DEPOSIT,ALABAMA,1833
122565,TOWN OF FRANKLIN,ALABAMA,1977
160688,TOWN OF FRISCO CITY,ALABAMA,1909
100029,TOWN OF FRUITHURST,ALABAMA,1896
160573,TOWN OF FULTON,ALABAMA,1896
184297,TOWN OF FYFFE,ALABAMA,1956
160712,TOWN OF GAINESVILLE,ALABAMA,1835
122523,TOWN OF GANTT,ALABAMA,1970
100045,TOWN OF GARDEN CITY,ALABAMA,1911
201319,TOWN OF GAYLESVILLE,ALABAMA,1886
160713,TOWN OF GEIGER,ALABAMA,1912
100051,TOWN OF GERALDINE,ALABAMA,1957
122514,TOWN OF GILBERTOWN,ALABAMA,1913
225762,TOWN OF GLEN ALLEN,ALABAMA,1959
122525,TOWN OF GLENWOOD,ALABAMA,1907
122591,TOWN OF GOLDVILLE,ALABAMA,1843
189548,TOWN OF GOOD HOPE,ALABAMA,1962
100037,TOWN OF GOODWATER,ALABAMA,1894
189557,TOWN OF GORDO,ALABAMA,1900
160629,TOWN OF GORDON,ALABAMA,1872
122564,TOWN OF GORDONVILLE,ALABAMA,1990
122580,TOWN OF GOSHEN,ALABAMA,1905
160680,TOWN OF GRANT,ALABAMA,1945
122532,TOWN OF GRIMES,ALABAMA,1912
201320,TOWN OF GROVE HILL,ALABAMA,1929
225039,TOWN OF GU-WIN,ALABAMA,1958
122566,TOWN OF GURLEY,ALABAMA,1891
160676,TOWN OF HACKLEBURG,ALABAMA,1909
122545,TOWN OF HALEBURG,ALABAMA,1963
207509,TOWN OF HAMMONDVILLE,ALABAMA,1937
122585,TOWN OF HARPERSVILLE,ALABAMA,1945
122504,TOWN OF HAYDEN,ALABAMA,1949
160668,TOWN OF HAYNEVILLE,ALABAMA,1841
100040,TOWN OF HEATH,ALABAMA,1967
122506,TOWN OF HIGHLAND LAKE,ALABAMA,1967
184305,TOWN OF HILLSBORO,ALABAMA,1899
160562,TOWN OF HOBSON CITY,ALABAMA,1899
122539,TOWN OF HODGES,ALABAMA,1913
122528,TOWN OF HOLLY POND,ALABAMA,1912
122549,TOWN OF HOLLYWOOD,ALABAMA,1821
160590,TOWN OF HORN HILL,ALABAMA,1985
225040,TOWN OF HURTSBORO,ALABAMA,1872
100065,TOWN OF HYTOP,ALABAMA,1991
160603,TOWN OF IDER,ALABAMA,1973
160722,TOWN OF JACKSONS GAP,ALABAMA,1980
100110,TOWN OF KANSAS,ALABAMA,1955
213326,TOWN OF KELLYTON,ALABAMA,2001
194439,TOWN OF KENNEDY,ALABAMA,1895
189554,TOWN OF KILLEN,ALABAMA,1857
100062,TOWN OF KINSEY,ALABAMA,1957
100032,TOWN OF KINSTON,ALABAMA,1920
100106,TOWN OF LAKE VIEW,ALABAMA,1997
160602,TOWN OF LAKEVIEW,ALABAMA,
137132,TOWN OF LANGSTON,ALABAMA,1980
160567,TOWN OF LEESBURG,ALABAMA,1960
160581,TOWN OF LEIGHTON,ALABAMA,1891
160665,TOWN OF LESTER,ALABAMA,
211971,TOWN OF LEVEL PLAINS,ALABAMA,1965
201322,TOWN OF LEXINGTON,ALABAMA,1959
160591,TOWN OF LIBERTYVILLE,ALABAMA,1967
189546,TOWN OF LISMAN,ALABAMA,1913
160582,TOWN OF LITTLEVILLE,ALABAMA,1956
122562,TOWN OF LOACHAPOKA,ALABAMA,1910
207505,TOWN OF LOCKHART,ALABAMA,1931
201317,TOWN OF LOCUST FORK,ALABAMA,1977
160553,TOWN OF LOUISVILLE,ALABAMA,1834
189555,TOWN OF LOWNDESBORO,ALABAMA,1832
122502,TOWN OF LOXLEY,ALABAMA,1962
160736,TOWN OF LYNN,ALABAMA,1952
184301,TOWN OF MADRID,ALABAMA,1911
219533,TOWN OF MAGNOLIA SPRINGS,ALABAMA,2000
122542,TOWN OF MALVERN,ALABAMA,1958
100027,TOWN OF MAPLESVILLE,ALABAMA,1914
207523,TOWN OF MARGARET,ALABAMA,1960
160650,TOWN OF MAYTOWN,ALABAMA,1956
100113,TOWN OF MCINTOSH,ALABAMA,1970
193051,TOWN OF MCKENZIE,ALABAMA,1912
160698,TOWN OF MCMULLEN,ALABAMA,1976
100095,TOWN OF MEMPHIS,ALABAMA,1976
160600,TOWN OF MENTONE,ALABAMA,1935
203912,TOWN OF MIDLAND CITY,ALABAMA,1890
160560,TOWN OF MIDWAY,ALABAMA,1871
160655,TOWN OF MILLPORT,ALABAMA,1887
160731,TOWN OF MILLRY,ALABAMA,1948
122563,TOWN OF MOORESVILLE,ALABAMA,1818
160644,TOWN OF MORRIS,ALABAMA,1950
160666,TOWN OF MOSSES,ALABAMA,1979
100059,TOWN OF MOUNDVILLE,ALABAMA,1908
160686,TOWN OF MT VERNON,ALABAMA,1959
160645,TOWN OF MULGA,ALABAMA,1947
219534,TOWN OF MUNFORD,ALABAMA,2002
160674,TOWN OF MYRTLEWOOD,ALABAMA,1957
160597,TOWN OF NAPIER FIELD,ALABAMA,1968
160737,TOWN OF NATURAL BRIDGE,ALABAMA,1997
160728,TOWN OF NAUVOO,ALABAMA,1905
122507,TOWN OF NECTAR,ALABAMA,1976
160570,TOWN OF NEEDHAM,ALABAMA,1981
122518,TOWN OF NEW BROCKTON,ALABAMA,1902
100105,TOWN OF NEW SITE,ALABAMA,1965
122544,TOWN OF NEWBERN,ALABAMA,1859
160595,TOWN OF NEWTON,ALABAMA,1887
160627,TOWN OF NEWVILLE,ALABAMA,1903
160661,TOWN OF NORTH COURTLAND,ALABAMA,1981
160646,TOWN OF NORTH JOHNS,ALABAMA,1912
207519,TOWN OF NOTASULGA,ALABAMA,1893
160718,TOWN OF OAK GROVE,ALABAMA,1966
160733,TOWN OF OAK HILL,ALABAMA,1940
100111,TOWN OF OAKMAN,ALABAMA,1895
201318,TOWN OF OHATCHEE,ALABAMA,1956
122524,TOWN OF ONYCHA,ALABAMA,1971
122533,TOWN OF ORRVILLE,ALABAMA,1854
160672,TOWN OF OWENS CROSS ROADS,ALABAMA,1967
100063,TOWN OF PAINT ROCK,ALABAMA,1894
193063,TOWN OF PARRISH,ALABAMA,1921
160571,TOWN OF PENNINGTON,ALABAMA,1964
223813,TOWN OF PERDIDO BEACH,ALABAMA,2009
203910,TOWN OF PETREY,ALABAMA,
160618,TOWN OF PHIL CAMPBELL,ALABAMA,1915
122578,TOWN OF PICKENSVILLE,ALABAMA,1835
160689,TOWN OF PIKE ROAD,ALABAMA,1997
100047,TOWN OF PINCKARD,ALABAMA,1892
100114,TOWN OF PINE APPLE,ALABAMA,1872
193064,TOWN OF PINE HILL,ALABAMA,1895
189549,TOWN OF PINE RIDGE,ALABAMA,1982
160633,TOWN OF PISGAH,ALABAMA,1947
122550,TOWN OF PLEASANT GROVES,ALABAMA,1993
122536,TOWN OF POLLARD,ALABAMA,1993
122534,TOWN OF POWELL,ALABAMA,1962
191934,TOWN OF PRICEVILLE,ALABAMA,1975
160675,TOWN OF PROVIDENCE,ALABAMA,1975
189558,TOWN OF RAGLAND,ALABAMA,1899
160578,TOWN OF RANBURNE,ALABAMA,1958
160588,TOWN OF RED LEVEL,ALABAMA,1901
122537,TOWN OF REECE CITY,ALABAMA,1956
160695,TOWN OF REFORM,ALABAMA,1898
160630,TOWN OF REHOBETH,ALABAMA,1996
122520,TOWN OF REPTON,ALABAMA,1899
160615,TOWN OF RIDGEVILLE,ALABAMA,1968
122522,TOWN OF RIVER FALLS,ALABAMA,1902
184312,TOWN OF RIVERSIDE,ALABAMA,1891
100054,TOWN OF RIVERVIEW,ALABAMA,1967
189547,TOWN OF ROCKFORD,ALABAMA,1860
160656,TOWN OF ROGERSVILLE,ALABAMA,1858
160559,TOWN OF ROSA,ALABAMA,1969
160592,TOWN OF RUTLEDGE,ALABAMA,1871
122512,TOWN OF SAND ROCK,ALABAMA,1988
184293,TOWN OF SANFORD,ALABAMA,1902
160614,TOWN OF SARDIS CITY,ALABAMA,1963
189552,TOWN OF SECTION,ALABAMA,1910
100052,TOWN OF SHILOH,ALABAMA,1962
100077,TOWN OF SHORTER,ALABAMA,1984
100028,TOWN OF SILAS,ALABAMA,1946
160549,TOWN OF SILVERHILL,ALABAMA,1926
160729,TOWN OF SIPSEY,ALABAMA,1965
207517,TOWN OF SKYLINE,ALABAMA,1985
160558,TOWN OF SNEAD,ALABAMA,1966
160692,TOWN OF SOMERVILLE,ALABAMA,1839
203911,TOWN OF SOUTH VINEMONT,ALABAMA,1961
160658,TOWN OF ST FLORIAN,ALABAMA,1970
122583,TOWN OF STEELE,ALABAMA,1952
122501,TOWN OF SUMMERDALE,ALABAMA,1929
160557,TOWN OF SUSAN MOORE,ALABAMA,1982
122569,TOWN OF SWEET WATER,ALABAMA,1963
160651,TOWN OF SYLVAN SPRINGS,ALABAMA,1957
207510,TOWN OF SYLVANIA,ALABAMA,1957
160717,TOWN OF TALLADEGA SPRINGS,ALABAMA,1913
207515,TOWN OF TAYLOR,ALABAMA,1967
160673,TOWN OF THOMASTON,ALABAMA,1901
160568,TOWN OF THORSBY,ALABAMA,1901
122561,TOWN OF TOWN CREEK,ALABAMA,1875
193052,TOWN OF TOXEY,ALABAMA,1949
122556,TOWN OF TRAFFORD,ALABAMA,1948
100081,TOWN OF TRIANA,ALABAMA,1819
100094,TOWN OF TRINITY,ALABAMA,1901
221025,TOWN OF TWIN,ALABAMA,2002
160624,TOWN OF UNION,ALABAMA,1979
193058,TOWN OF UNION GROVE,ALABAMA,1962
160694,TOWN OF UNIONTOWN,ALABAMA,1836
193054,TOWN OF VALLEY HEAD,ALABAMA,1921
184314,TOWN OF VANCE,ALABAMA,1972
122540,TOWN OF VINA,ALABAMA,1909
100100,TOWN OF VINCENT,ALABAMA,1897
122574,TOWN OF VREDENBURGH,ALABAMA,1913
193061,TOWN OF WADLEY,ALABAMA,1908
160613,TOWN OF WALNUT GROVE,ALABAMA,1886
160657,TOWN OF WATERLOO,ALABAMA,1832
211970,TOWN OF WAVERLY,ALABAMA,1910
122547,TOWN OF WEBB,ALABAMA,1910
122581,TOWN OF WEDOWEE,ALABAMA,1839
100023,TOWN OF WEST BLOCTON,ALABAMA,1893
160652,TOWN OF WEST JEFFERSON,ALABAMA,1964
160593,TOWN OF WEST POINT,ALABAMA,1977
215830,TOWN OF WESTOVER,ALABAMA,2012
160667,TOWN OF WHITE HALL,ALABAMA,1979
122586,TOWN OF WILSONVILLE,ALABAMA,1897
160709,TOWN OF WILTON,ALABAMA,1918
160701,TOWN OF WOODLAND,ALABAMA,1965
160555,TOWN OF WOODSTOCK,ALABAMA,1996
160635,TOWN OF WOODVILLE,ALABAMA,1880
100115,TOWN OF YELLOW BLUFF,ALABAMA,1985
160762,CITY AND BOROUGH OF JUNEAU,ALASKA,1970
160787,CITY AND BOROUGH OF SITKA,ALASKA,1971
239781,CITY AND BOROUGH OF WRANGELL,ALASKA,2008
213313,CITY OF ADAK,ALASKA,2001
160771,CITY OF AKHIOK,ALASKA,1974
122700,CITY OF AKIAK,ALASKA,1970
160807,CITY OF AKUTAN,ALASKA,1979
160794,CITY OF ALAKANUK,ALASKA,1969
122707,CITY OF ALEKNAGIK,ALASKA,1973
100231,CITY OF ALLAKAKET,ALASKA,1975
122713,CITY OF AMBLER,ALASKA,1971
211266,CITY OF ANAKTUVUK PASS,ALASKA,1957
191939,CITY OF ANDERSON,ALASKA,1962
160788,CITY OF ANGOON,ALASKA,1963
122701,CITY OF ANIAK,ALASKA,1972
189583,CITY OF ANVIK,ALASKA,1969
160744,CITY OF ATKA,ALASKA,1988
160784,CITY OF ATQASUK,ALASKA,1982
160746,CITY OF BETHEL,ALASKA,1957
100233,CITY OF BETTLES,ALASKA,1985
100221,CITY OF BREVIG MISSION,ALASKA,1969
160766,CITY OF BUCKLAND,ALASKA,1966
160747,CITY OF CHEFORNAK,ALASKA,1974
122727,CITY OF CHEVAK,ALASKA,1967
160809,CITY OF CHIGNIK,ALASKA,1983
122702,CITY OF CHUATHBALUK,ALASKA,1975
160756,CITY OF CLARKS POINT,ALASKA,1971
100226,CITY OF COFFMAN COVE,ALASKA,1989
137163,CITY OF COLD BAY,ALASKA,1981
100228,CITY OF CORDOVA,ALASKA,1909
160785,CITY OF CRAIG,ALASKA,1922
160767,CITY OF DEERING,ALASKA,1970
160791,CITY OF DELTA JUNCTION,ALASKA,1960
183690,CITY OF DILLINGHAM,ALASKA,1963
160775,CITY OF DIOMEDE,ALASKA,1970
160792,CITY OF EAGLE,ALASKA,1901
244778,CITY OF EDNA BAY,ALASKA,2014
100214,CITY OF EEK,ALASKA,1970
203929,CITY OF EGEGIK,ALASKA,1985
122708,CITY OF EKWOK,ALASKA,1974
160776,CITY OF ELIM,ALASKA,1970
100229,CITY OF EMMONAK,ALASKA,1964
100216,CITY OF FAIRBANKS,ALASKA,1903
122733,CITY OF FALSE PASS,ALASKA,1990
160801,CITY OF FORT YUKON,ALASKA,1959
122730,CITY OF GALENA,ALASKA,1971
189581,CITY OF GAMBELL,ALASKA,1963
160777,CITY OF GOLOVIN,ALASKA,1971
160748,CITY OF GOODNEWS BAY,ALASKA,1970
160802,CITY OF GRAYLING,ALASKA,1969
215331,CITY OF GUSTAVUS,ALASKA,2004
160803,CITY OF HOLY CROSS,ALASKA,1968
160763,CITY OF HOMER,ALASKA,1964
100227,CITY OF HOONAH,ALASKA,1946
160795,CITY OF HOOPER BAY,ALASKA,1966
160774,CITY OF HOUSTON,ALASKA,1966
184339,CITY OF HUGHES,ALASKA,1973
122731,CITY OF HUSLIA,ALASKA,1969
122724,CITY OF HYDABURG,ALASKA,1927
122712,CITY OF KACHEMAK,ALASKA,1961
160799,CITY OF KAKE,ALASKA,1952
160782,CITY OF KAKTOVIK,ALASKA,1971
160804,CITY OF KALTAG,ALASKA,1969
160786,CITY OF KASAAN,ALASKA,1976
194907,CITY OF KENAI,ALASKA,1960
160765,CITY OF KETCHIKAN,ALASKA,1900
184337,CITY OF KIANA,ALASKA,1964
207530,CITY OF KING COVE,ALASKA,1947
122714,CITY OF KIVALINA,ALASKA,1969
193068,CITY OF KLAWOCK,ALASKA,1929
160768,CITY OF KOBUK,ALASKA,1973
122716,CITY OF KODIAK,ALASKA,1940
160796,CITY OF KOTLIK,ALASKA,1970
160769,CITY OF KOTZEBUE,ALASKA,1958
